timestamp,region
2024-06-01 06:12:00,Kyiv
2024-06-01 06:45:00,Kyiv
2024-06-01 07:03:00,Kharkiv
2024-06-01 08:11:00,Lviv
2024-06-01 08:19:00,Kyiv
2024-06-01 09:02:00,Odesa
2024-06-01 09:55:00,Dnipro
2024-06-01 10:07:00,Kyiv
2024-06-01 11:30:00,Kharkiv
2024-06-01 12:04:00,Lviv
2024-06-01 13:18:00,Kyiv
2024-06-01 14:22:00,Odesa
2024-06-01 15:01:00,Dnipro
2024-06-01 16:40:00,Kyiv
2024-06-01 17:05:00,Kharkiv
2024-06-01 18:33:00,Lviv
2024-06-01 19:12:00,Kyiv
2024-06-01 20:08:00,Odesa
2024-06-01 21:45:00,Dnipro
2024-06-01 22:17:00,Kyiv
2024-06-02 05:50:00,Kharkiv
2024-06-02 06:28:00,Kyiv
2024-06-02 07:14:00,Lviv
2024-06-02 08:02:00,Odesa
2024-06-02 09:37:00,Dnipro
2024-06-02 10:11:00,Kyiv
2024-06-02 11:49:00,Kharkiv
2024-06-02 12:26:00,Lviv
2024-06-02 13:58:00,Kyiv
2024-06-02 14:33:00,Odesa
2024-06-02 15:20:00,Dnipro
2024-06-02 16:05:00,Kyiv
2024-06-02 17:41:00,Kharkiv
2024-06-02 18:19:00,Lviv
2024-06-02 19:04:00,Kyiv
2024-06-02 20:52:00,Odesa
2024-06-02 21:16:00,Dnipro
2024-06-02 22:38:00,Kyiv
2024-06-03 06:01:00,Kharkiv
2024-06-03 07:22:00,Kyiv
2024-06-03 08:45:00,Lviv
2024-06-03 09:10:00,Odesa
2024-06-03 10:33:00,Dnipro
2024-06-03 11:07:00,Kyiv
2024-06-03 12:54:00,Kharkiv
2024-06-03 13:29:00,Lviv
2024-06-03 14:48:00,Kyiv
2024-06-03 15:16:00,Odesa
2024-06-03 16:02:00,Dnipro
2024-06-03 17:35:00,Kyiv
2024-06-03 18:11:00,Kharkiv
2024-06-03 19:27:00,Lviv
2024-06-03 20:09:00,Kyiv
2024-06-03 21:44:00,Odesa
2024-06-03 22:05:00,Dnipro
